Date,Merchant,Amount,Payback
2024-08-06,"Marche Mon Pitou VANCOUVER, BC",4.2,
2024-08-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,
2024-08-06,"CAFE&LIFE CO. VANCOUVER, BC",5.2,
2024-08-06,"LULULEMON #00120 VANCOUVER, BC",42.56,
2024-08-06,"REXALL PHARMACY #7182 VANCOUVER, BC",4.7,
2024-08-02,"JAPADOG VANCOUVER, BC",4.18,
2024-08-02,"GYU-KAKU JAPANESE BBQ VANCOUVER, BC",63.09,
2024-08-01,"COMPASS VENDING BURNABY, BC",107.3,
2024-08-01,"TIM HORTONS #3578 VANCOUVER, BC",3.14,
2024-07-31,"CONVIVIAL CAFE AND BAKERY VANCOUVER, BC",4.88,
2024-07-24,"SQ *UNO GELATO Vancouver, BC",8.39,
2024-07-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,473.38
2024-07-19,"SAVE ON FOODS #2225 BURNABY, BC",10.49,
2024-07-18,"VANCOUVER PB RECREATION VANCOUVER, BC",78.75,
2024-07-18,"BBY VILLAGE MUSEUM/RSTR BURNABY, BC",4.73,
2024-07-18,"LONDON DRUGS 02 VANCOUVER, BC",33.95,
2024-07-16,"STARBUCKS 800-782-7282 800-782-7282, ON",10,
2024-07-16,"BLENZ IN RICHMOND CENTRE RICHMOND, BC",4.53,
2024-07-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-07-15,"DOLLARAMA # 716 VANCOUVER, BC",3.64,
2024-07-12,"BRAINSTATION TORONTO, ON",261.63,
2024-07-12,"GOODLIFE FITNESS CENTRES LONDON, ON",52.49,
2024-07-12,"GOODLIFE FITNESS BURNABY, BC",10.49,
2024-07-10,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.1,
2024-07-09,"BCF-TSA SELF SERVE TICKET DELTA, BC",19.1,
2024-07-09,"THE OLD FARM MARKET VICTORIA, BC",11.57,
2024-07-08,"THE ROSE TEA AND FLOWERS VANCOUVER, BC",5.83,
2024-07-08,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.1,
2024-07-08,"THE OLD FARM MARKET VICTORIA, BC",16.31,
2024-07-08,"THE OLD FARM MARKET VICTORIA, BC",0.74,
2024-07-08,"ExpressVPN 310-6018492, DE 12.95 USD @ 1.399227",18.12,
2024-07-08,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,
2024-07-08,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",3.47,
2024-07-05,"WHOLE FOODS MARKET VICTORIA, BC",28.99,
2024-07-05,"TIM HORTONS #20940 VICTORIA, BC",7.54,
2024-07-05,"SAVE ON FOODS #921 VICTORIA, BC",5.14,
2024-07-05,"BON SUSHI OAK BAY VICTORIA, BC",62.23,
2024-07-05,"PENDRAY INN AND TEA HOUSE VICTORIA, BC",67.62,
2024-07-05,"WHISTLE BUOY BREWING VICTORIA, BC",10.01,
2024-07-04,"STARBUCKS COFFEE #7145 VICTORIA, BC",4.67,
2024-07-04,"LAILALAILA VICTORIA, BC",18.88,
2024-07-04,"SEAWARDS SOUVENIR AND APP SIDNEY, BC",4.47,
2024-07-03,"SQ *RED FISH BLUE FISH Victoria, BC",24.15,
2024-07-03,"BCF-TSA SELF SERVE TICKET DELTA, BC",38.2,
2024-07-02,AIRBNB * HMHHP35QH4 AIRBNB.COM,140.32,
2024-07-02,"KIMS MART VANCOUVER, BC",21.25,
2024-07-02,"COMPASS VENDING BURNABY, BC",107.3,
2024-07-02,"COMPASS VENDING BURNABY, BC",10,
2024-07-02,"MCDONALD'S #40298 VANCOUVER, BC",1.31,
2024-07-02,"T&T SUPERMARKET #029 VANCOUVER, BC",12.94,
2024-06-26,"KIMS MART VANCOUVER, BC",42.13,
2024-06-26,"TREES ORGANIC COFFEE VANCOUVER, BC",4.46,
2024-06-25,CASHBACK/REMISE EN ARGENT,,107.3
2024-06-24,ANNUAL FEE,99,
2024-06-24,ANNUAL FEE REBATE,,99
2024-06-24,PURCHASE INTEREST,21.04,
2024-06-24,"T&T SUPERMARKET #003 VANCOUVER, BC",14.55,
2024-06-24,"HANNAM SUPERMARKET ROB VANCOUVER, BC",10.98,
2024-06-24,"INTERNATIONAL ABC STORE L VANCOUVER, BC",18.47,
2024-06-24,"SQ *CAFECLUB. Vancouer, BC",19,
2024-06-24,"COMPASS ACCOUNT BURNABY, BC",3.15,
2024-06-24,"CAFFE ARTIGIANO VANCOUVER, BC",6.88,
2024-06-24,"#337 SPORT CHEK VANCOUVER, BC",31.36,
2024-06-24,"#337 SPORT CHEK VANCOUVER, BC",36.96,
2024-06-24,"NIK'S SMOKE SHOP VANCOUVER, BC",10.9,
2024-06-21,"T&T SUPERMARKET #029 VANCOUVER, BC",8,
2024-06-21,"SHOPPERS DRUG MART #22 VANCOUVER, BC",5.76,
2024-06-18,"REAL CDN SUPERSTORE #1 BURNABY, BC",34.76,
2024-06-18,PAYMENT THANK YOU/PAIEMEN T MERCI,,1422.37
2024-06-17,"FIDO Mobile ******2258 888-481-3436, ON",45.92,
2024-06-12,"BRAINSTATION TORONTO, ON",261.63,
2024-06-07,"Microsoft*Store 425-7038358, ON",,2.03
2024-06-07,"REAL CDN SUPERSTORE #1 BURNABY, BC",12.83,
2024-06-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,
2024-06-06,"BATH & BODY WORKS BURNABY, BC",3.92,
2024-06-05,"LONDON DRUGS 02 VANCOUVER, BC",13.98,
2024-06-04,"COMPASS VENDING BURNABY, BC",104.9,
2024-05-31,"ExpressVPN 310-6018492, DE 12.95 USD @ 1.407722",18.23,
2024-05-30,"NUKID BAKERY CAFE VANCOUVER, BC",29.4,
2024-05-28,CASH ADVANCE CREDIT,,11.52
2024-05-28,"LULULEMONCOM* 877-263-9300, BC",76.16,
2024-05-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,700
2024-05-27,"USCUSTOMS ESTA APPL PMT 317-715-6776, IN 21.00 USD @ 1.408571",29.58,
2024-05-27,"LULULEMON #00110 VANCOUVER, BC",199.12,
2024-05-27,"LULULEMON #00110 VANCOUVER, BC",58.24,
2024-05-27,"AMZN Mktp CA*B378A0GM3 WWW.AMAZON.CA, ON",44.22,
2024-05-27,"CHINATOWN BBQ VANCOUVER, BC",58.04,
2024-05-24,PAYMENT THANK YOU/PAIEMEN T MERCI,,500
2024-05-23,"ENTERPRISE CANADA C403 BURNABY, BC",204.01,
2024-05-22,"SAFEWAY #4960 KELOWNA, BC",15.2,
2024-05-21,"OGOPOGO GIFTLAND KELOWNA, BC",5.55,
2024-05-21,"PETRO CANADA02879 KELOWNA, BC",25,
2024-05-21,"KANGAROO CREEK FARM KELOWNA, BC",63,
2024-05-21,"FROCK CLOTHING KELOWNA, BC",31.49,
2024-05-21,"SUPER SAVE GAS #7 - B BURNABY, BC",37.61,
2024-05-21,"ASSI MARKET BURNABY Burnaby, BC",26.51,
2024-05-21,"ASSI MARKET BURNABY Burnaby, BC",11.98,
2024-05-21,"CHV43055 COQUIHALLA CH HOPE, BC",50,
2024-05-21,"IMPARK00100252U KELOWNA, BC",8.5,
2024-05-21,"MEX KELOWNA WESTBANK, BC",39.75,
2024-05-21,"SOBAN KOREAN BISTRO KELOWNA, BC",17.85,
2024-05-21,"PARLOUR ICE CREAM KELOWNA, BC",18.9,
2024-05-21,"SAFEWAY #4960 KELOWNA, BC",13.37,
2024-05-21,"K TOWN PIZZERIA KELOWNA, BC",17.8,
2024-05-21,"CANADA'S BEST VALUE INN K KELOWNA, BC",295.8,
2024-05-21,"SUMMERHILL PYRAMID WINERY KELOWNA, BC",49.1,
2024-05-17,"HANNAM SUPERMARKET BUR BURNABY, BC",11.47,
2024-05-17,"HANNAM SUPERMARKET BUR BURNABY, BC",62.54,
2024-05-17,"VANCOUVER PB RECREATION VANCOUVER, BC",,39.69
2024-05-17,"LONDON DRUGS 02 VANCOUVER, BC",13.98,
2024-05-17,"VANCOUVER PB RECREATION VANCOUVER, BC",,39.69
2024-05-16,"BRAINSTATION TORONTO, ON",261.63,
2024-05-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,747
2024-05-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-05-15,"BONO CAFE COQUITLAM, BC",28,
2024-05-15,"H-MART COQUITLAM, BC",10.72,
2024-05-14,"Microsoft*Store 425-7038358, ON",8.96,
2024-05-13,"T&T SUPERMARKET #029 VANCOUVER, BC",3.14,
2024-05-13,"SQ *CAFE ORSO North Vancouv, BC",4.6,
2024-05-13,"SP AHOY GOODS NORTH VANCOUV, BC",30.81,
2024-05-13,"T&T SUPERMARKET #029 VANCOUVER, BC",24.1,
2024-05-13,"KIMS MART VANCOUVER, BC",75.9,
2024-05-10,"LONDON DRUGS 02 VANCOUVER, BC",6.99,
2024-05-07,"REAL CDN SUPERSTORE #1 BURNABY, BC",7.52,
2024-05-07,"REAL CDN SUPERSTORE #1 BURNABY, BC",10.34,
2024-05-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,
2024-05-06,"DOLLARAMA #1010 BURNABY, BC",1.4,
2024-05-06,"DOLLARAMA #1010 BURNABY, BC",4.2,
2024-05-06,"ZARA TEC #3194 VANCOUVER, BC",31.49,
2024-05-06,"H-MART DOWNTOWN VANCOUVER, BC",15.69,
2024-05-06,"INTERNATIONAL ABC STORE L VANCOUVER, BC",7.28,
2024-05-06,"T&T SUPERMARKET #003 VANCOUVER, BC",9.98,
2024-05-06,"REXALL PHARMACY #7182 VANCOUVER, BC",3.99,
2024-05-06,"T&T SUPERMARKET #003 VANCOUVER, BC",9.32,
2024-05-06,"VANCOUVER PB RECREATIO VANCOUVER, BC",210,
2024-05-02,"COMPASS VENDING BURNABY, BC",104.9,
2024-04-30,"H-MART DOWNTOWN VANCOUVER, BC",8.78,
2024-04-29,"CORNERSTONE COLLEGE VANCOUVER, BC",10,
2024-04-29,"WINNERS 358 VANCOUVER, BC",33.59,
2024-04-29,"REAL CDN SUPERSTORE #1 BURNABY, BC",18.52,
2024-04-23,"BREKA BAKERY & CAFE VANCOUVER, BC",9.98,
2024-04-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,300
2024-04-22,"SEPHORA ROBSON STREET VANCOUVER, BC",77.3,
2024-04-22,"INDIGO 975 VANCOUVER, BC",6.67,
2024-04-22,"REAL CDN SUPERSTORE #1 BURNABY, BC",7.8,
2024-04-22,"H-MART DOWNTOWN VANCOUVER, BC",11.55,
2024-04-22,"#337 SPORT CHEK VANCOUVER, BC",16.78,
2024-04-22,"LONDON DRUGS 02 VANCOUVER, BC",17.98,
2024-04-22,"LONDON DRUGS POSTAL OUTLE VANCOUVER, BC",1.37,
2024-04-18,"Amazon.ca*XO57I3C43 AMAZON.CA, ON",22.25,
2024-04-17,"Amazon.ca*RQ8KY1YA1 AMAZON.CA, ON",19.61,
2024-04-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-04-15,"BUY LOW FOODS 4531 BURNABY, BC",33.98,
2024-04-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,136
2024-04-15,"T&T SUPERMARKET #003 VANCOUVER, BC",3.31,
2024-04-15,"REXALL PHARMACY #7182 VANCOUVER, BC",3.59,
2024-04-12,"BRAINSTATION TORONTO, ON",261.63,
2024-04-12,"KIMS MART VANCOUVER, BC",14.97,
2024-04-11,"SAVE ON FOODS #940 VANCOUVER, BC",3,
2024-04-11,"NENE CHICKEN VANCOUVER, BC",15.08,
2024-04-11,"SAFEWAY #4966 VANCOUVER, BC",19.1,
2024-04-10,"SAFEWAY #4966 VANCOUVER, BC",12.26,
2024-04-09,"JETBLUE 2792150425102 8005382583, NY 476.03 USD @ 1.399239",666.08,
2024-04-09,PAYMENT THANK YOU/PAIEMEN T MERCI,,700
2024-04-08,"LONDON DRUGS 02 VANCOUVER, BC",4.99,
2024-04-08,"HANNAM SUPERMARKET ROB VANCOUVER, BC",19.76,
2024-04-08,"T&T SUPERMARKET #001 BURNABY, BC",21.85,
2024-04-08,"T&T SUPERMARKET #001 BURNABY, BC",4.97,
2024-04-08,"REAL CDN SUPERSTORE #1 BURNABY, BC",2.97,
2024-04-08,"REAL CDN SUPERSTORE #1 BURNABY, BC",33.95,
2024-04-03,"HM Pacific Centre Vancouver, BC",20.15,
2024-04-03,"JANGMOJIB RESTAURANT VANCOUVER, BC",41.81,
2024-04-02,"COMPASS VENDING BURNABY, BC",104.9,
2024-04-02,"COMPASS VENDING BURNABY, BC",11.25,
2024-04-02,PAYMENT THANK YOU/PAIEMEN T MERCI,,500
2024-04-02,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.2,
2024-04-02,"SP STUSSY VANCOUVER VANCOUVER, BC",168,
2024-04-02,"AC TAXI LTD NANAIMO, BC",33.5,
2024-04-02,"CHIMAC VICTORIA, BC",30.15,
2024-04-02,PAYMENT THANK YOU/PAIEMEN T MERCI,,500
2024-04-01,"PETRO CANADA91450 NANAIMO, BC",200,
2024-04-01,"PR PUM / PR MDEP UCLUELET, BC",22,
2024-04-01,"CRYSTAL COVE BEACH RESORT TOFINO, BC",13.68,
2024-04-01,"CRYSTAL COVE BEACH RESORT TOFINO, BC",7,
2024-04-01,"TOFINO CONSUMERS CO-OP TOFINO, BC",18.63,
2024-04-01,"TACOFINO TOFINO TOFINO, BC",45.94,
2024-04-01,"DRIFTWOOD GIFTS TOFINO, BC",8.95,
2024-04-01,"REAL CANADIAN SUPERSTO NANAIMO, BC",97.42,
2024-04-01,"CRYSTAL COVE BEACH RESORT TOFINO, BC",14,
2024-04-01,"MID ISLAND LANTZVILLE LIQ LANTZVILLE, BC",60.1,
2024-04-01,"RAJ TAXI NANAIMO, BC",35,
2024-04-01,"HANNAM SUPERMARKET BUR BURNABY, BC",27.99,
2024-04-01,"KIMS MART VANCOUVER, BC",38.15,
2024-04-01,"HANNAM SUPERMARKET BUR BURNABY, BC",8.99,
2024-03-27,"HANNAM SUPERMARKET BUR BURNABY, BC",41.41,
2024-03-26,"ISLAND EXPRESS BUS BURNABY, BC",72.2,
2024-03-26,"BCF - ONLINE SALES & BOOK VICTORIA, BC",58.35,
2024-03-26,"BCF - ONLINE SALES & BOOK VICTORIA, BC",38.9,
2024-03-26,"REXALL PHARMACY #7182 VANCOUVER, BC",3.69,
2024-03-26,"BB.Q CHICKEN MAIN ST. VANCOUVER, BC",36.38,
2024-03-25,"BATH & BODY WORKS BURNABY, BC",16.09,
2024-03-25,"HANNAM SUPERMARKET YAL VANCOUVER, BC",19.99,
2024-03-25,"DAISO CANADA CO LTD VANCOUVER, BC",2.81,
2024-03-25,"SQ *ANALOG COFFEE YALETOW Vancouver, BC",4.36,
2024-03-25,"Jones BarBQue Victoria 855-999-3729, BC",34.12,
2024-03-25,"LONDON DRUGS 02 VANCOUVER, BC",13.98,
2024-03-25,"DOLLARAMA # 716 VANCOUVER, BC",11.2,
2024-03-25,"T&T SUPERMARKET #029 VANCOUVER, BC",4.99,
2024-03-25,"H-MART DOWNTOWN VANCOUVER, BC",16.25,
2024-03-22,PURCHASE INTEREST,0.04,
2024-03-22,"COMPASS VENDING BURNABY, BC",10,
2024-03-22,"CRYSTAL COVE BEACH RESORT TOFINO, BC",235.43,
2024-03-22,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.2,
2024-03-22,"BCF-TSA SELF SERVE TICKET DELTA, BC",19.2,
2024-03-22,"SQ *RED FISH BLUE FISH Victoria, BC",16.8,
2024-03-22,"SHOPPERS DRUG MART #02 VICTORIA, BC",8.95,
2024-03-21,CASHBACK/REMISE EN ARGENT,,27.8
2024-03-21,PAYMENT THANK YOU/PAIEMEN T MERCI,,700
2024-03-19,"KIMS MART VANCOUVER, BC",20.36,
2024-03-19,PAYMENT THANK YOU/PAIEMEN T MERCI,,400
2024-03-18,"AMZN Mktp CA*RH62P7V50 WWW.AMAZON.CA, ON",72.28,
