Date,Merchant,Amount,Category
2024-10-03,"BIG WAY HOT POT KINGSWAY BURNABY, BC",26.73,RESTAURANT
2024-10-03,"REAL CDN SUPERSTORE #1 BURNABY, BC",3.33,MARKET
2024-10-01,"REAL CDN SUPERSTORE #1 BURNABY, BC",9.33,MARKET
2024-10-01,"COMPASS VENDING BURNABY, BC",107.3,UTILITY
2024-09-27,"AMZN Mktp CA*KA56I99P3 WWW.AMAZON.CA, ON",45.24,ONLINE
2024-09-26,"Marche Mon Pitou VANCOUVER, BC",3.94,CAFE
2024-09-25,"MCDONALD'S #40227 VANCOUVER, BC",1.31,RESTAURANT
2024-09-25,"#337 SPORT CHEK VANCOUVER, BC",3.15,BEAUTY
2024-09-25,"H-MART DOWNTOWN VANCOUVER, BC",12.99,MARKET
2024-09-25,"REXALL PHARMACY #7174 VANCOUVER, BC",5.65,MARKET
2024-09-24,PURCHASE INTEREST,34.78,OTHER
2024-09-24,"CLASSPASS* MONTHLY CLASSPASS.COM, MT",82.95,WORKOUT
2024-09-24,"LONDON DRUGS 02 VANCOUVER, BC",20.97,MARKET
2024-09-24,"#327 SPORT CHEK VANCOUVER, BC",9.45,BEAUTY
2024-09-23,"Nike Robson Vancouver, BC",41.05,OFFLINE
2024-09-23,"BREKA BAKERY & CAFE VANCOUVER, BC",36.0,CAFE
2024-09-23,"CHINATOWN BBQ VANCOUVER, BC",16.75,RESTAURANT
2024-09-23,"INDIGO 975 VANCOUVER, BC",7.79,OFFLINE
2024-09-23,"LONDON DRUGS 19 VANCOUVER, BC",6.71,MARKET
2024-09-23,"Nike Robson Vancouver, BC",40.77,OFFLINE
2024-09-23,"SKEWERS PITA BAR VANCOUVER, BC",30.35,RESTAURANT
2024-09-23,"THE FEDERAL STORE VANCOUVER, BC",3.4,CAFE
2024-09-23,"THE FEDERAL STORE VANCOUVER, BC",9.2,CAFE
2024-09-20,"BURGER KING #16608 VANCOUVER, BC",1.67,CAFE
2024-09-19,"TIM HORTONS #3578 604-609-0865, BC",4.71,CAFE
2024-09-18,"H-MART DOWNTOWN VANCOUVER, BC",12.98,MARKET
2024-09-18,"H-MART DOWNTOWN VANCOUVER, BC",12.98,MARKET
2024-09-16,"SP STUSSY VANCOUVER VANCOUVER, BC",112.0,OFFLINE
2024-09-16,"DOLLARAMA # 818 VANCOUVER, BC",27.45,MARKET
2024-09-16,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-09-16,"CLASSPASS* MISSED CLAS CLASSPASS.COM, MT",16.0,WORKOUT
2024-09-16,"MARKETPLACE IGA # 16 VANCOUVER, BC",9.14,MARKET
2024-09-13,"H-MART DOWNTOWN VANCOUVER, BC",4.98,MARKET
2024-09-12,"BRAINSTATION TORONTO, ON",261.57,EDUCATION
2024-09-12,OVERLIMIT FEE,29.0,OTHER
2024-09-12,"TIM HORTONS #3578 604-609-0865, BC",1.91,CAFE
2024-09-11,"ROCANINI COFFEE ROASTERS VANCOUVER, BC",4.73,CAFE
2024-09-10,"SAFEWAY #4908 VANCOUVER, BC",9.14,MARKET
2024-09-09,"REXALL PHARMACY #7182 VANCOUVER, BC",3.99,MARKET
2024-09-09,"SAVE ON FOODS #940 VANCOUVER, BC",9.14,MARKET
2024-09-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,OTHER
2024-09-06,"VANCOUVER PB RECREATION VANCOUVER, BC",131.25,WORKOUT
2024-09-04,"Marche Mon Pitou VANCOUVER, BC",3.94,CAFE
2024-09-03,"PAL PAL NOODLE HOUSE BURNABY, BC",62.89,RESTAURANT
2024-09-03,"COMPASS ACCOUNT BURNAB BURNABY, BC",107.3,UTILITY
2024-09-03,"ExpressVPN 310-6018492, DE 12.95 USD @ 1.386100",17.95,OTHER
2024-09-03,"MARUHACHI RA-MEN METRO BURNABY, BC",15.48,RESTAURANT
2024-08-31,Starbucks,$20,CAFE
2024-08-30,"SQ *ROCKY POINT ICE CREAM Port Moody, BC",4.96,RESTAURANT
2024-08-30,"COMPASS ACCOUNT BURNAB BURNABY, BC",10.0,UTILITY
2024-08-29,"SAMURAI JAPANESE RESTA VANCOUVER, BC",18.43,RESTAURANT
2024-08-29,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",9.48,MARKET
2024-08-29,"SQ *PERFECTO CAFE (DAVIE) Vancouver, BC",4.46,CAFE
2024-08-29,"WINNERS 358 VANCOUVER, BC",16.79,OFFLINE
2024-08-29,"LONDON DRUGS 02 VANCOUVER, BC",7.99,MARKET
2024-08-29,"SQ *DANK MART Vancouver, BC",5.24,MARKET
2024-08-28,"KIMS MART VANCOUVER, BC",27.09,MARKET
2024-08-27,"SQ *SLO COFFEE Vancouver, BC",4.04,CAFE
2024-08-22,"KIMS MART VANCOUVER, BC",7.99,MARKET
2024-08-22,"Marche Mon Pitou VANCOUVER, BC",3.94,CAFE
2024-08-21,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,CAFE
2024-08-20,"WINNERS 358 VANCOUVER, BC",39.18,OFFLINE
2024-08-19,"MCDONALD'S #8067 Q04 VANCOUVER, BC",5.25,RESTAURANT
2024-08-16,"VANCOUVER PB RECREATION VANCOUVER, BC",105.0,WORKOUT
2024-08-15,"Marche Mon Pitou VANCOUVER, BC",4.2,CAFE
2024-08-15,ZIPAIR 0000000KHC4EG WWW.ZIPAIR.NE,773.6,UTILITY
2024-08-15,"Trip.com Vancouver, BC",303.41,TRAVEL
2024-08-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-08-14,"SQ *UNO GELATO Vancouver, BC",8.39,RESTAURANT
2024-08-14,"Marche Mon Pitou VANCOUVER, BC",3.94,CAFE
2024-08-14,"SPINSOCIETY NORTH VANCOUV, BC",218.4,WORKOUT
2024-08-13,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2024-08-12,"SHOPPERS DRUG MART #28 VANCOUVER, BC",5.1,MARKET
2024-08-09,"H-MART DOWNTOWN VANCOUVER, BC",2.22,MARKET
2024-08-08,"KIMS MART VANCOUVER, BC",17.81,MARKET
2024-08-07,"KIMS MART VANCOUVER, BC",13.98,MARKET
2024-08-07,"BIG WAY HOT POT KINGSWAY BURNABY, BC",40.13,RESTAURANT
2024-08-07,"BIG WAY HOT POT KINGSWAY BURNABY, BC",20.86,RESTAURANT
2024-08-06,"Marche Mon Pitou VANCOUVER, BC",4.2,CAFE
2024-08-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,OTHER
2024-08-06,"CAFE&LIFE CO. VANCOUVER, BC",5.2,CAFE
2024-08-06,"LULULEMON #00120 VANCOUVER, BC",42.56,OFFLINE
2024-08-06,"REXALL PHARMACY #7182 VANCOUVER, BC",4.7,MARKET
2024-08-02,"JAPADOG VANCOUVER, BC",4.18,RESTAURANT
2024-08-02,"GYU-KAKU JAPANESE BBQ VANCOUVER, BC",63.09,RESTAURANT
2024-08-01,"TIM HORTONS #3578 VANCOUVER, BC",3.14,CAFE
2024-08-01,"COMPASS VENDING BURNABY, BC",107.3,UTILITY
2024-07-31,"CONVIVIAL CAFE AND BAKERY VANCOUVER, BC",4.88,CAFE
2024-07-24,"SQ *UNO GELATO Vancouver, BC",8.39,RESTAURANT
2024-07-19,"SAVE ON FOODS #2225 BURNABY, BC",10.49,MARKET
2024-07-18,"VANCOUVER PB RECREATION VANCOUVER, BC",78.75,WORKOUT
2024-07-18,"BBY VILLAGE MUSEUM/RSTR BURNABY, BC",4.73,CULTURE
2024-07-18,"LONDON DRUGS 02 VANCOUVER, BC",33.95,MARKET
2024-07-16,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,CAFE
2024-07-16,"BLENZ IN RICHMOND CENTRE RICHMOND, BC",4.53,CAFE
2024-07-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-07-15,"DOLLARAMA # 716 VANCOUVER, BC",3.64,MARKET
2024-07-12,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2024-07-12,"GOODLIFE FITNESS CENTRES LONDON, ON",52.49,WORKOUT
2024-07-12,"GOODLIFE FITNESS BURNABY, BC",10.49,WORKOUT
2024-07-10,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.1,UTILITY
2024-07-09,"THE OLD FARM MARKET VICTORIA, BC",11.57,EDUCATION
2024-07-09,"BCF-TSA SELF SERVE TICKET DELTA, BC",19.1,UTILITY
2024-07-08,"THE ROSE TEA AND FLOWERS VANCOUVER, BC",5.83,CAFE
2024-07-08,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.1,UTILITY
2024-07-08,"THE OLD FARM MARKET VICTORIA, BC",16.31,EDUCATION
2024-07-08,"THE OLD FARM MARKET VICTORIA, BC",0.74,EDUCATION
2024-07-08,"ExpressVPN 310-6018492, DE 12.95 USD @ 1.399227",18.12,OTHER
2024-07-08,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,OTHER
2024-07-08,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",3.47,MARKET
2024-07-05,"WHOLE FOODS MARKET VICTORIA, BC",28.99,MARKET
2024-07-05,"TIM HORTONS #20940 VICTORIA, BC",7.54,CAFE
2024-07-05,"SAVE ON FOODS #921 VICTORIA, BC",5.14,MARKET
2024-07-05,"BON SUSHI OAK BAY VICTORIA, BC",62.23,EDUCATION
2024-07-05,"PENDRAY INN AND TEA HOUSE VICTORIA, BC",67.62,EDUCATION
2024-07-05,"WHISTLE BUOY BREWING VICTORIA, BC",10.01,EDUCATION
2024-07-04,"SEAWARDS SOUVENIR AND APP SIDNEY, BC",4.47,OFFLINE
2024-07-04,"LAILALAILA VICTORIA, BC",18.88,EDUCATION
2024-07-04,"STARBUCKS COFFEE #7145 VICTORIA, BC",4.67,CAFE
2024-07-03,"BCF-TSA SELF SERVE TICKET DELTA, BC",38.2,UTILITY
2024-07-03,"SQ *RED FISH BLUE FISH Victoria, BC",24.15,EDUCATION
2024-07-02,"KIMS MART VANCOUVER, BC",21.25,MARKET
2024-07-02,"T&T SUPERMARKET #029 VANCOUVER, BC",12.94,MARKET
2024-07-02,"COMPASS VENDING BURNABY, BC",107.3,UTILITY
2024-07-02,AIRBNB * HMHHP35QH4 AIRBNB.COM,140.32,UTILITY
2024-07-02,"MCDONALD'S #40298 VANCOUVER, BC",1.31,RESTAURANT
2024-07-02,"COMPASS VENDING BURNABY, BC",10.0,UTILITY
2024-06-26,"TREES ORGANIC COFFEE VANCOUVER, BC",4.46,CAFE
2024-06-26,"KIMS MART VANCOUVER, BC",42.13,MARKET
2024-06-24,"SQ *CAFECLUB. Vancouer, BC",19.0,CAFE
2024-06-24,"#337 SPORT CHEK VANCOUVER, BC",36.96,BEAUTY
2024-06-24,"CAFFE ARTIGIANO VANCOUVER, BC",6.88,CAFE
2024-06-24,"COMPASS ACCOUNT BURNABY, BC",3.15,UTILITY
2024-06-24,"NIK'S SMOKE SHOP VANCOUVER, BC",10.9,MARKET
2024-06-24,"INTERNATIONAL ABC STORE L VANCOUVER, BC",18.47,MARKET
2024-06-24,ANNUAL FEE,99.0,OTHER
2024-06-24,"HANNAM SUPERMARKET ROB VANCOUVER, BC",10.98,MARKET
2024-06-24,"#337 SPORT CHEK VANCOUVER, BC",31.36,BEAUTY
2024-06-24,PURCHASE INTEREST,21.04,OTHER
2024-06-24,"T&T SUPERMARKET #003 VANCOUVER, BC",14.55,MARKET
2024-06-21,"T&T SUPERMARKET #029 VANCOUVER, BC",8.0,MARKET
2024-06-21,"SHOPPERS DRUG MART #22 VANCOUVER, BC",5.76,MARKET
2024-06-18,"REAL CDN SUPERSTORE #1 BURNABY, BC",34.76,MARKET
2024-06-17,"FIDO Mobile ******2258 888-481-3436, ON",45.92,UTILITY
2024-06-12,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2024-06-07,"REAL CDN SUPERSTORE #1 BURNABY, BC",12.83,MARKET
2024-06-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,OTHER
2024-06-06,"BATH & BODY WORKS BURNABY, BC",3.92,ONLINE
2024-06-05,"LONDON DRUGS 02 VANCOUVER, BC",13.98,MARKET
2024-06-04,"COMPASS VENDING BURNABY, BC",104.9,UTILITY
2024-05-31,"ExpressVPN 310-6018492, DE 12.95 USD @ 1.407722",18.23,OTHER
2024-05-30,"NUKID BAKERY CAFE VANCOUVER, BC",29.4,CAFE
2024-05-28,"LULULEMONCOM* 877-263-9300, BC",76.16,ONLINE
2024-05-27,"CHINATOWN BBQ VANCOUVER, BC",58.04,RESTAURANT
2024-05-27,"LULULEMON #00110 VANCOUVER, BC",199.12,OFFLINE
2024-05-27,"USCUSTOMS ESTA APPL PMT 317-715-6776, IN 21.00 USD @ 1.408571",29.58,TRAVEL
2024-05-27,"AMZN Mktp CA*B378A0GM3 WWW.AMAZON.CA, ON",44.22,ONLINE
2024-05-27,"LULULEMON #00110 VANCOUVER, BC",58.24,OFFLINE
2024-05-23,"ENTERPRISE CANADA C403 BURNABY, BC",204.01,OTHER
2024-05-22,"SAFEWAY #4960 KELOWNA, BC",15.2,MARKET
2024-05-21,"SUMMERHILL PYRAMID WINERY KELOWNA, BC",49.1,TRAVEL
2024-05-21,"CANADA'S BEST VALUE INN K KELOWNA, BC",295.8,TRAVEL
2024-05-21,"K TOWN PIZZERIA KELOWNA, BC",17.8,TRAVEL
2024-05-21,"SAFEWAY #4960 KELOWNA, BC",13.37,MARKET
2024-05-21,"PARLOUR ICE CREAM KELOWNA, BC",18.9,TRAVEL
2024-05-21,"MEX KELOWNA WESTBANK, BC",39.75,TRAVEL
2024-05-21,"SOBAN KOREAN BISTRO KELOWNA, BC",17.85,TRAVEL
2024-05-21,"CHV43055 COQUIHALLA CH HOPE, BC",50.0,TRAVEL
2024-05-21,"ASSI MARKET BURNABY Burnaby, BC",11.98,MARKET
2024-05-21,"ASSI MARKET BURNABY Burnaby, BC",26.51,MARKET
2024-05-21,"SUPER SAVE GAS #7 - B BURNABY, BC",37.61,UTILITY
2024-05-21,"FROCK CLOTHING KELOWNA, BC",31.49,TRAVEL
2024-05-21,"KANGAROO CREEK FARM KELOWNA, BC",63.0,TRAVEL
2024-05-21,"PETRO CANADA02879 KELOWNA, BC",25.0,TRAVEL
2024-05-21,"OGOPOGO GIFTLAND KELOWNA, BC",5.55,TRAVEL
2024-05-21,"IMPARK00100252U KELOWNA, BC",8.5,TRAVEL
2024-05-17,"HANNAM SUPERMARKET BUR BURNABY, BC",11.47,MARKET
2024-05-17,"HANNAM SUPERMARKET BUR BURNABY, BC",62.54,MARKET
2024-05-17,"LONDON DRUGS 02 VANCOUVER, BC",13.98,MARKET
2024-05-16,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2024-05-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-05-15,"BONO CAFE COQUITLAM, BC",28.0,CAFE
2024-05-15,"H-MART COQUITLAM, BC",10.72,MARKET
2024-05-14,"Microsoft*Store 425-7038358, ON",8.96,OTHER
2024-05-13,"SQ *CAFE ORSO North Vancouv, BC",4.6,CAFE
2024-05-13,"KIMS MART VANCOUVER, BC",75.9,MARKET
2024-05-13,"SP AHOY GOODS NORTH VANCOUV, BC",30.81,OFFLINE
2024-05-13,"T&T SUPERMARKET #029 VANCOUVER, BC",3.14,MARKET
2024-05-13,"T&T SUPERMARKET #029 VANCOUVER, BC",24.1,MARKET
2024-05-10,"LONDON DRUGS 02 VANCOUVER, BC",6.99,MARKET
2024-05-07,"REAL CDN SUPERSTORE #1 BURNABY, BC",7.52,MARKET
2024-05-07,"REAL CDN SUPERSTORE #1 BURNABY, BC",10.34,MARKET
2024-05-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,OTHER
2024-05-06,"DOLLARAMA #1010 BURNABY, BC",4.2,MArKET
2024-05-06,"ZARA TEC #3194 VANCOUVER, BC",31.49,OFFLINE
2024-05-06,"H-MART DOWNTOWN VANCOUVER, BC",15.69,MARKET
2024-05-06,"INTERNATIONAL ABC STORE L VANCOUVER, BC",7.28,MARKET
2024-05-06,"T&T SUPERMARKET #003 VANCOUVER, BC",9.98,MARKET
2024-05-06,"REXALL PHARMACY #7182 VANCOUVER, BC",3.99,MARKET
2024-05-06,"T&T SUPERMARKET #003 VANCOUVER, BC",9.32,MARKET
2024-05-06,"VANCOUVER PB RECREATIO VANCOUVER, BC",210.0,WORKOUT
2024-05-06,"DOLLARAMA #1010 BURNABY, BC",1.4,MARKET
2024-05-02,"COMPASS VENDING BURNABY, BC",104.9,UTILITY
2024-04-30,"H-MART DOWNTOWN VANCOUVER, BC",8.78,MARKET
2024-04-29,"REAL CDN SUPERSTORE #1 BURNABY, BC",18.52,MARKET
2024-04-29,"WINNERS 358 VANCOUVER, BC",33.59,OFFLINE
2024-04-29,"CORNERSTONE COLLEGE VANCOUVER, BC",10.0,OTHER
2024-04-23,"BREKA BAKERY & CAFE VANCOUVER, BC",9.98,CAFE
2024-04-22,"SEPHORA ROBSON STREET VANCOUVER, BC",77.3,RESTAURANT
2024-04-22,"INDIGO 975 VANCOUVER, BC",6.67,OFFLINE
2024-04-22,"REAL CDN SUPERSTORE #1 BURNABY, BC",7.8,MARKET
2024-04-22,"H-MART DOWNTOWN VANCOUVER, BC",11.55,MARKET
2024-04-22,"#337 SPORT CHEK VANCOUVER, BC",16.78,BEAUTY
2024-04-22,"LONDON DRUGS 02 VANCOUVER, BC",17.98,MARKET
2024-04-22,"LONDON DRUGS POSTAL OUTLE VANCOUVER, BC",1.37,MARKET
2024-04-18,"Amazon.ca*XO57I3C43 AMAZON.CA, ON",22.25,ONLINE
2024-04-17,"Amazon.ca*RQ8KY1YA1 AMAZON.CA, ON",19.61,ONLINE
2024-04-15,"REXALL PHARMACY #7182 VANCOUVER, BC",3.59,MARKET
2024-04-15,"BUY LOW FOODS 4531 BURNABY, BC",33.98,MARKET
2024-04-15,"T&T SUPERMARKET #003 VANCOUVER, BC",3.31,MARKET
2024-04-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-04-12,"KIMS MART VANCOUVER, BC",14.97,MARKET
2024-04-12,"BRAINSTATION TORONTO, ON",261.63,EDUCATION
2024-04-11,"SAVE ON FOODS #940 VANCOUVER, BC",3.0,MARKET
2024-04-11,"NENE CHICKEN VANCOUVER, BC",15.08,RESTAURANT
2024-04-11,"SAFEWAY #4966 VANCOUVER, BC",19.1,MARKET
2024-04-10,"SAFEWAY #4966 VANCOUVER, BC",12.26,MARKET
2024-04-09,"JETBLUE 2792150425102 8005382583, NY 476.03 USD @ 1.399239",666.08,UTILITY
2024-04-08,"LONDON DRUGS 02 VANCOUVER, BC",4.99,MARKET
2024-04-08,"HANNAM SUPERMARKET ROB VANCOUVER, BC",19.76,MARKET
2024-04-08,"T&T SUPERMARKET #001 BURNABY, BC",21.85,MARKET
2024-04-08,"T&T SUPERMARKET #001 BURNABY, BC",4.97,MARKET
2024-04-08,"REAL CDN SUPERSTORE #1 BURNABY, BC",2.97,MARKET
2024-04-08,"REAL CDN SUPERSTORE #1 BURNABY, BC",33.95,MARKET
2024-04-03,"HM Pacific Centre Vancouver, BC",20.15,OFFLINE
2024-04-03,"JANGMOJIB RESTAURANT VANCOUVER, BC",41.81,RESTAURANT
2024-04-02,"COMPASS VENDING BURNABY, BC",104.9,UTILITY
2024-04-02,"COMPASS VENDING BURNABY, BC",11.25,UTILITY
2024-04-02,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.2,UTILITY
2024-04-02,"SP STUSSY VANCOUVER VANCOUVER, BC",168.0,OFFLINE
2024-04-02,"AC TAXI LTD NANAIMO, BC",33.5,UTILITY
2024-04-02,"CHIMAC VICTORIA, BC",30.15,EDUCATION
2024-04-01,"HANNAM SUPERMARKET BUR BURNABY, BC",8.99,MARKET
2024-04-01,"KIMS MART VANCOUVER, BC",38.15,MARKET
2024-04-01,"REAL CANADIAN SUPERSTO NANAIMO, BC",97.42,MARKET
2024-04-01,"RAJ TAXI NANAIMO, BC",35.0,UTILITY
2024-04-01,"CRYSTAL COVE BEACH RESORT TOFINO, BC",14.0,TRAVEL
2024-04-01,"HANNAM SUPERMARKET BUR BURNABY, BC",27.99,MARKET
2024-04-01,"DRIFTWOOD GIFTS TOFINO, BC",8.95,TRAVEL
2024-04-01,"PR PUM / PR MDEP UCLUELET, BC",22.0,OTHER
2024-04-01,"TACOFINO TOFINO TOFINO, BC",45.94,RESTAURANT
2024-04-01,"PETRO CANADA91450 NANAIMO, BC",200.0,TRAVEL
2024-04-01,"MID ISLAND LANTZVILLE LIQ LANTZVILLE, BC",60.1,TRAVEL
2024-04-01,"CRYSTAL COVE BEACH RESORT TOFINO, BC",13.68,TRAVEL
2024-04-01,"CRYSTAL COVE BEACH RESORT TOFINO, BC",7.0,TRAVEL
2024-04-01,"TOFINO CONSUMERS CO-OP TOFINO, BC",18.63,TRAVEL
2024-03-27,"HANNAM SUPERMARKET BUR BURNABY, BC",41.41,MARKET
2024-03-26,"ISLAND EXPRESS BUS BURNABY, BC",72.2,UTILITY
2024-03-26,"BCF - ONLINE SALES & BOOK VICTORIA, BC",58.35,EDUCATION
2024-03-26,"BCF - ONLINE SALES & BOOK VICTORIA, BC",38.9,EDUCATION
2024-03-26,"REXALL PHARMACY #7182 VANCOUVER, BC",3.69,MARKET
2024-03-26,"BB.Q CHICKEN MAIN ST. VANCOUVER, BC",36.38,RESTAURANT
